,station_num,lon,lat,height
328,A1224,116.86806,39.78556,13.0
329,A1225,116.63222,39.73861,16.0
330,A1226,116.78583,39.70444,10.0
331,A1227,116.76639,39.89694,38.0
332,A1228,116.83139,39.835,11.0
333,A1229,116.69056,40.01444,34.0
334,A1230,116.735,39.97333,19.0
335,A1251,116.64639,39.61917,20.0
336,A1252,116.32111,39.52222,35.0
337,A1253,116.50306,39.69333,26.0
338,A1254,116.325,39.60278,25.0
339,A1255,116.51056,39.61556,24.0
340,A1256,116.56806,39.69778,22.0
341,A1257,116.4425,39.76306,36.0
342,A1258,116.40861,39.62833,29.0
343,A1259,116.41444,39.54139,28.0
344,A1260,116.32806,39.78778,43.0
345,A1261,116.25083,39.66361,35.0
346,A1265,116.3475,39.45778,26.0
347,A1266,116.32722,39.55,41.0
348,A1267,116.24306,39.5925,38.0
349,A1268,116.43639,39.81,36.0
350,A1270,116.25278,39.73528,46.0
351,A1272,116.56194,39.66139,29.0
352,A1273,116.31306,39.70083,35.6
353,A1274,116.46083,39.7675,35.0
354,A1309,115.72889,39.57944,131.0
355,A1310,115.88278,39.82028,168.0
356,A1311,115.89111,39.61944,89.0
357,A1312,115.52472,39.78222,1136.0
358,A1313,115.90694,39.66972,103.0
359,A1314,116.12889,39.74333,46.0
360,A1315,115.83194,39.76778,300.0
361,A1316,116.11,39.60722,34.0
362,A1317,115.66806,39.85278,643.0
363,A1318,115.6025,39.635,153.0
364,A1319,116.03333,39.77611,101.0
365,A1320,115.77083,39.885,621.0
366,A1321,116.00833,39.705,50.0
367,A1322,115.82056,39.55194,63.0
368,A1323,116.11056,39.64667,40.0
369,A1324,116.19056,39.69028,42.0
370,A1327,115.87472,39.58278,49.0
371,A1328,115.715,39.83556,422.0
372,A1329,115.58083,39.81278,2000.0
373,A1330,115.84194,39.63306,146.0
374,A1331,116.02444,39.60972,33.0
375,A1332,115.85944,39.79028,285.0
376,A1333,115.85583,39.68917,156.0
377,A1334,116.01306,39.82917,144.0
378,A1335,115.91333,39.73139,207.0
379,A1336,115.83694,39.72056,261.0
380,A1337,115.82639,39.60694,134.0
381,A1338,115.70528,39.875,725.0
382,A1339,116.13833,39.67722,39.2
383,A1344,115.98528,39.65667,41.0
384,A1345,116.08083,39.68306,47.0
385,A1346,115.92194,39.805,245.0
386,A1347,115.77556,39.58583,183.0
387,A1351,115.49611,40.04889,1669.0
388,A1352,116.02333,40.06806,1072.0
389,A1353,115.62028,39.94278,576.0
390,A1354,116.105,39.93778,100.0
391,A1355,115.76722,39.995,343.0
392,A1356,116.02278,39.87722,243.0
393,A1357,115.945,39.97278,281.0
394,A1358,115.87778,40.03194,252.0
395,A1359,115.50028,39.93944,691.0
396,A1360,115.58389,39.86722,995.0
397,A1361,116.05306,39.98417,126.0
398,A1362,115.71361,40.07,375.0
399,A1363,116.13111,40.01444,256.0
400,A1364,115.86028,40.13,625.0
401,A1365,115.89361,40.07306,406.0
402,A1366,115.63944,39.99583,640.0
403,A1367,115.78361,39.94,672.0
404,A1368,115.56611,39.88306,742.0
405,A1369,115.99944,39.97528,177.0
406,A1370,115.815,40.12694,631.0
407,A1371,116.085,40.00889,114.0
408,A1372,115.59,39.9025,634.0
409,A1373,115.76,40.03639,604.0
410,A1374,115.64722,39.92056,613.0
411,A1375,115.57194,39.98722,640.0
412,A1376,115.74833,40.09083,349.0
413,A1377,115.68278,39.94639,611.0
414,A1378,116.04889,39.90583,626.0
415,A1379,115.90639,39.95167,363.0
416,A1380,116.08889,39.97389,113.0
417,A1381,116.10944,39.91417,96.0
418,A1382,115.55833,40.06667,1475.0
419,A1383,115.65528,40.04333,587.0
420,A1384,115.74111,39.95806,489.0
421,A1385,115.80583,39.9425,835.0
422,A1386,115.75944,40.00583,397.0
423,A1387,115.78333,40.14611,874.0
424,A1388,116.02111,39.89833,280.0
425,A1393,115.70472,40.02667,681.0
426,A1394,115.65667,39.90528,806.0
427,A1395,115.46778,39.96222,836.0
428,A1396,115.47833,39.99194,967.0
429,A1397,115.55278,39.84639,806.0
430,A1398,115.9975,40.07417,805.0
431,A1399,115.96028,40.04917,531.0
432,A1400,116.03917,40.02833,290.0
433,A1401,116.38361,40.18306,41.0
434,A1402,116.30278,40.36778,334.0
435,A1403,116.06389,40.29306,150.0
436,A1404,116.03,40.19833,215.0
437,A1405,116.33222,40.22667,88.0
438,A1406,116.17778,40.25667,126.0
439,A1407,116.24528,40.29389,129.0
440,A1408,116.45306,40.22083,49.0
441,A1409,116.28556,40.14722,44.0
442,A1410,115.97556,40.10194,326.0
443,A1411,116.26583,40.24361,76.0
444,A1415,116.34583,40.17333,39.0
445,A1416,116.41917,40.11722,40.0
446,A1417,115.94611,40.21361,872.0
447,A1418,116.15611,40.19444,58.0
448,A1419,116.24167,40.275,105.0
449,A1421,116.35778,40.20222,48.0
450,A1422,116.07,40.17194,114.0
451,A1423,116.42056,40.31028,256.0
452,A1424,116.33333,40.1325,36.0
453,A1425,116.00806,40.16028,253.0
454,A1426,115.875,40.15556,690.0
455,A1427,116.00056,40.20028,286.0
456,A1428,116.23917,40.11944,47.0
457,A1429,115.94361,40.155,506.0
458,A1430,116.15361,40.32361,273.0
459,A1431,116.06,40.22,146.0
460,A1432,116.20694,40.31806,129.0
461,A1433,116.42167,40.275,154.0
462,A1434,116.3225,40.30861,318.0
463,A1435,116.4375,40.23,62.0
464,A1436,116.215,40.365,467.0
465,A1437,116.32278,40.26,293.0
466,A1438,116.10028,40.24361,127.0
467,A1441,116.33194,40.19111,48.0
468,A1442,116.21194,40.22194,60.0
469,A1443,116.14889,40.14694,51.0
470,A1444,116.33389,40.07306,63.0
471,A1445,116.39111,40.065,42.0
472,A1451,115.89389,40.45583,478.0
473,A1452,116.40611,40.52972,657.0
474,A1453,115.60778,40.23472,498.0
475,A1454,116.005,40.54611,579.0
476,A1455,116.2225,40.43611,528.0
477,A1456,116.48694,40.59694,587.0
478,A1457,116.1775,40.65306,618.0
479,A1458,115.86472,40.44167,475.0
480,A1459,116.06833,40.44417,603.0
481,A1460,116.16889,40.52417,525.0
482,A1461,115.88861,40.54444,876.0
483,A1462,116.32389,40.69306,491.0
484,A1463,116.19833,40.58139,635.0
485,A1464,115.78222,40.45167,511.0
486,A1465,116.26306,40.705,569.0
487,A1466,116.06417,40.53111,518.0
488,A1468,115.9975,40.35722,632.0
489,A1469,115.81389,40.50444,745.0
490,A1470,115.84972,40.40778,480.0
491,A1471,115.93972,40.51972,499.0
492,A1473,116.31972,40.63,724.0
493,A1474,116.42806,40.75167,487.0
494,A1475,116.34389,40.53806,754.0
495,A1476,116.23833,40.41556,458.0
496,A1477,116.48111,40.66833,487.0
497,A1478,116.09306,40.40611,570.0
498,A1479,116.00944,40.48806,498.0
499,A1480,116.42028,40.55472,597.0
500,A1481,115.90083,40.41222,504.0
501,A1482,115.97194,40.47722,488.0
502,A1483,116.25389,40.43972,480.0
503,A1484,116.35806,40.52167,766.0
504,A1485,116.18139,40.42694,665.0
505,A1486,116.08889,40.59472,618.0
506,A1487,115.86944,40.46694,498.0
507,A1488,116.09667,40.50778,502.0
